what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1397560512537
started,bundle,org.maven.ide.eclipse.maven_model_edit,0.10.2.20100623-1649,"org.maven.ide.eclipse.maven_model_edit",1397560512548
os,sysinfo,,,"win32",1397560512551
arch,sysinfo,,,"x86",1397560512551
ws,sysinfo,,,"win32",1397560512551
locale,sysinfo,,,"zh_CN",1397560512551
processors,sysinfo,,,"4",1397560512552
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1397560512552
java.runtime.version,sysinfo,,,"1.6.0_43-b01",1397560512552
java.specification.name,sysinfo,,,"Java Platform API Specification",1397560512552
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1397560512552
java.specification.version,sysinfo,,,"1.6",1397560512552
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1397560512552
java.version,sysinfo,,,"1.6.0_43",1397560512552
java.vm.info,sysinfo,,,"mixed mode, sharing",1397560512552
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1397560512552
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1397560512552
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1397560512552
java.vm.specification.version,sysinfo,,,"1.0",1397560512552
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1397560512552
java.vm.version,sysinfo,,,"20.14-b01",1397560512552
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1397560513277
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1397560513908
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1397560514029
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1397560514114
started,bundle,org.maven.ide.eclipse,0.10.2.20100623-1649,"org.maven.ide.eclipse",1397560519432
started,bundle,org.maven.ide.eclipse.jdt,0.10.2.20100623-1649,"org.maven.ide.eclipse.jdt",1397560519504
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1397560519661
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1397560521381
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1397560521419
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1397560521422
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1397560521487
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1397560521493
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1397560521620
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1397560521772
